group1,group2
0.62619,4.28904
2.94614,6.59895
0.27942,5.24522
3.35385,5.4964
1.06166,6.78166
1.672,4.62588
2.38603,5.01787
1.34263,3.73528
2.35591,5.47478
0.03762,3.61031
3.34525,4.40517
2.88095,3.76555
3.1177,5.2593
0.9899,6.71868
3.05313,6.22782
0.18902,5.68695
0.72293,6.25575
0.75956,5.40735
1.94361,6.6356
0.23909,3.77248
2.01777,6.52445
3.19165,3.56926
3.08692,4.92845
0.63057,5.05433
0.1943,5.70818
1.0761,4.58631
1.72991,6.68092
3.16559,3.54206
0.07705,5.02679
2.7371,3.51953
1.63569,5.68237
1.51456,5.80701
1.36052,3.55552
0.56908,4.19918
2.15661,6.506
2.62301,4.74689
1.25063,4.3214
3.39328,5.06473
0.92793,5.3372
0.76948,5.79698
0.98938,4.41412
1.57463,6.46768
3.31333,5.48401
1.68148,4.87124
2.32311,6.17081
1.82449,4.13636
2.22606,6.10981
1.81562,3.63207
1.35663,5.04929
0.96107,5.1927
2.81735,4.94076
2.03365,5.59433
2.06866,4.88198
1.48612,5.32264
2.755,4.50894
1.13701,3.62819
1.11275,3.99151
1.59255,3.79425
0.13995,6.02573
2.18201,3.95325
0.75607,6.18136
2.01546,5.09761
2.13707,5.21468
0.47108,4.95441
0.07601,5.41801
2.25364,5.23766
2.58942,5.52952
0.71311,5.97629
2.51121,5.38028
2.3272,4.17774
2.55162,3.60512
0.98794,4.94169
2.04477,6.00481
3.04256,5.28471
1.44719,6.17743
1.89416,6.98927
0.91597,4.68823
2.47006,4.08373
0.03903,6.78735
2.83708,4.55186
0.2787,5.18227
1.64166,4.85331
2.3581,6.4453
0.21143,5.03051
3.43786,3.99782
2.7857,6.80452
0.94547,6.89239
2.12962,6.02828
2.87382,6.77704
2.53643,6.66862
1.2844,6.40821
0.02591,5.04978
1.75651,6.13502
3.14848,4.13916
0.17866,5.86132
0.30182,4.59445
2.43783,3.80493
0.64812,3.62134
2.18128,4.98769
3.44275,5.11505
1.91392,5.65654
1.86642,5.54993
0.99054,4.03709
1.10647,4.73723
0.0518,5.93816
1.72848,3.85466
0.58061,3.97794
1.61761,4.13089
0.77967,6.74504
0.01679,4.00905
0.20958,5.1164
1.52118,6.42871
0.06355,3.51545
2.63811,3.72611
2.34541,5.30212
2.10429,5.83394
3.46026,3.59976
0.5247,4.51032
0.50163,6.13848
0.84792,4.06988
1.586,3.96047
1.59396,5.39994
1.27944,5.11809
2.68434,4.5179
0.04308,4.48827
3.44703,5.06226
0.55516,3.53281
1.19043,5.42229
0.17795,6.63258
2.26287,6.61966
2.32984,5.71189
3.05484,6.16559
0.40002,4.35301
1.88748,6.84499
2.38346,5.01726
0.66707,3.52686
3.22722,5.54664
1.88046,4.41861
1.79872,5.7597
2.36136,3.72456
1.60493,3.57407
0.08766,4.73668
2.67301,3.86104
3.02719,6.64974
3.17594,6.47149
1.71424,6.07669
2.50736,5.1372
0.31234,3.74195
0.37326,5.13995
0.89484,5.20755
0.26573,4.06252
3.26142,5.8064
0.494,4.87499
1.98963,6.97963
1.79127,5.55721
0.58544,4.05805
1.69992,5.81244
0.95196,6.48751
1.34748,5.39538
2.79065,5.09643
2.75452,3.62265
1.27607,5.49291
2.89779,6.06461
2.38084,5.2449
2.25502,5.87501
0.30289,5.99924
3.15333,5.06809
2.31347,4.00327
2.5903,4.12914
1.86355,6.46238
2.0888,5.53762
2.88255,4.59003
1.59884,5.74743
1.06378,4.57044
0.75824,5.19475
0.61248,4.3294
0.17672,4.90916
1.34503,5.07665
1.56446,4.55065
1.98481,3.79499
2.65269,6.2795
0.37171,4.4261
0.9228,5.24107
1.69728,4.35114
1.14502,5.72917
0.84507,6.55561
1.61158,4.21722
2.60566,5.13854
0.68376,3.60985
1.5171,3.81419
2.45329,3.93585
2.62094,6.57695
1.60465,3.81201
3.19362,5.48013
2.753,4.3669
3.23728,5.36766
0.63077,3.94402
0.30308,5.28538
0.9471,6.23685
2.56619,4.62975
2.87729,3.67628
1.36642,5.9463
0.13078,3.54727
0.67086,3.80331
1.86041,6.10038
2.16265,3.78932
0.19755,5.41974
3.19441,5.59003
3.25585,6.99268
1.18231,5.01768
3.01122,6.76457
1.69595,3.61201
1.40844,6.87088
1.15817,4.06235
2.03675,3.81229
2.36259,4.3957
1.03939,4.99566
1.69057,4.96209
3.29869,6.15083
2.4441,4.53402
0.97067,6.42775
1.97389,5.85273
1.61392,6.08876
1.57289,6.51396
0.90796,3.94687
3.36605,4.64572
0.07137,5.99482
0.13118,6.6194
2.67485,5.759
1.86203,5.6016
2.23739,6.48776
0.92971,5.81861
2.65323,4.79298
0.47532,6.12234
2.00311,4.67132
0.15708,3.93846
0.14433,3.63314
0.18925,3.91027
0.28139,4.07697
2.82552,3.85459
0.86619,3.95866
2.28774,5.57612
2.26379,5.74041
2.70756,5.56924
2.38048,5.32355
1.17455,5.5128
2.06319,6.11713
1.90949,3.55862
2.64372,6.49076
1.4991,6.5408
3.26137,4.24502
1.11088,5.66881
0.18243,6.30542
0.96073,5.01487
0.32678,4.606
2.81093,6.07595
3.38311,6.32349
2.13517,6.69431
1.0314,6.12353
3.2193,5.55454
0.5382,5.64032
1.98659,4.08997
1.75046,6.26223
0.72426,4.71819
0.76393,3.81011
0.97786,5.30674
0.36162,6.62343
2.97087,6.26818
3.3599,6.64347
1.41855,3.80838
0.0403,5.21878
2.12712,5.83821
2.88352,5.77646
2.09268,6.19581
1.48716,4.38308
1.55492,4.23956
0.58303,5.52364
2.12948,3.71683
3.17037,4.96078
2.92395,3.74568
0.50341,5.25371
0.14329,4.76791
1.70615,4.57459
1.07738,6.44884
2.68723,5.4796
1.1332,6.45361
2.13527,4.53038
1.9786,5.79696
2.73518,6.37257
1.87027,5.23145
3.27607,3.7204
3.27059,6.36373
2.73537,5.50049
0.52425,5.87429
2.6976,6.23802
0.09859,3.70737
1.11224,4.52388
1.31239,6.36139
0.06696,6.42292
0.40516,5.26618
0.4496,6.08681
0.97554,5.43075
2.34992,4.22175
1.86366,4.25336
0.58512,4.33291
0.49936,4.48982
1.51467,4.27867
1.6837,3.54929
1.75427,6.02097
1.01803,3.65868
2.06369,5.34626
2.72507,6.84608
0.86279,3.73259
0.29326,5.79895
2.21005,6.97376
2.77457,4.03879
0.97471,4.32198
0.00072,5.35378
2.69129,4.7438
1.86745,5.25104
3.28953,5.15332
2.53204,6.44292
0.21956,3.50663
1.37028,4.90786
0.60341,6.4323
0.38534,6.67974
1.50144,3.59515
1.42572,4.1686
3.13355,6.79678
3.38736,3.66489
1.81345,4.02244
1.00985,5.49326
0.6269,4.68221
2.13873,3.63781
2.845,4.67023
0.70223,5.83061
0.26646,5.41669
2.47462,3.53504
1.40278,6.0661
1.97285,6.75769
1.69687,3.80305
1.81715,4.17966
0.46914,5.36189
2.93864,5.12298
1.27568,5.94877
1.8922,6.18293
3.23994,6.53028
3.24053,4.71259
1.58167,4.69041
0.5146,4.2465
1.00953,5.79441
3.03291,5.32102
0.46728,3.60131
1.69716,5.93169
2.94029,4.56775
3.2453,6.04411
2.36898,6.23874
0.62503,4.10209
0.06092,4.46916
2.34481,6.2601
